"id","calle.nombre","departamento.nombre","localidad_censal.nombre","nomenclatura","nMatchAPI","codigoAPI","Nombre","Sector","Año_fund","Total_funding_amount","Funding_Status","Info","Sector_2","Estadio","Direccion","Barrio","Ciudad","Last_Funding_Type","Number_Employees","geometry"
1,"VUELTA DE OBLIGADO","Comuna 13","Ciudad Autónoma de Buenos Aires","VUELTA DE OBLIGADO 1947, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Restorando","Marketplace",2011,"s.d","M&A","RESTORANDO (2011)  |  Marketplace  |  M&A","no","Gacelas_en_exp","Vuelta de Obligado 1947","Belgrano","CABA","Series C","de 101 a 250",c(-58.4544370653714, -34.5628926973393)
2,"AV BELGRANO","Comuna 1","Ciudad Autónoma de Buenos Aires","AV BELGRANO 955, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","Nubeliu","SaaS",2014,"s.d","M&A","NUBELIU (2014)  |  SaaS  |  M&A","no","Gacelas_en_exp","avenida Belgrano 955","Montserrat","CABA","Seed","de 11 a 50",c(-58.3798273028947, -34.6129967016105)
3,"AV ALVAREZ THOMAS","Comuna 13","Ciudad Autónoma de Buenos Aires","AV ALVAREZ THOMAS 198, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Gointegro","SaaS",2002,"s.d","Early stage venture","GOINTEGRO (2002)  |  SaaS  |  Early stage venture","no","Gacelas_en_exp","avenida Álvarez Thomas 198","Colegiales","CABA","Series B","de 101 a 250",c(-58.4470781389593, -34.5820397007128)
4,"11 DE SEPTIEMBRE DE 1888","Comuna 13","Ciudad Autónoma de Buenos Aires","11 DE SEPTIEMBRE DE 1888, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Neuralys","Ciberseguridad",2016,"s.d","-","NEURALYS (2016)  |  Ciberseguridad","no","Gacelas_en_exp"," 11 de Septiembre de 1888","Belgrano","CABA","Venture","de 1 a 10",c(-58.4679965135676, -34.5362671616757)
5,"CORREA","Comuna 12","Ciudad Autónoma de Buenos Aires","CORREA 2442, Comuna 12, Ciudad Autónoma de Buenos Aires",1,"Exito","Globant","SaaS",2003,"5811","IPO","GLOBANT (2003)  |  SaaS  |  IPO  (Mkt Cap: 5.811M USD)","Big data","Unicornios","Correa 2442","Nuñez","CABA","Undisclosed","de 5001-10000",c(-58.4725346088103, -34.5439513467547)
6,"HUMBERTO 1","Comuna 1","Ciudad Autónoma de Buenos Aires","HUMBERTO 1 53, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","Globant","SaaS",2003,"5811","IPO","GLOBANT (2003)  |  SaaS  |  IPO  (Mkt Cap: 5.811M USD)","Big data","Unicornios","Humberto 1 53","San Telmo","CABA","Undisclosed","de 5001-10000",c(-58.3666346052162, -34.6204557267683)
7,"MINONES","Comuna 13","Ciudad Autónoma de Buenos Aires","MINONES 2177, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","OLX","Marketplace",2006,"s.d","M&A","OLX (2006)  |  Marketplace  |  M&A","no","Unicornios","Miñones 2177","Belgrano","CABA","na","de 5001-10000",c(-58.4461750662116, -34.5546591807925)
8,"ARIAS","Comuna 12","Ciudad Autónoma de Buenos Aires","ARIAS 3751, Comuna 12, Ciudad Autónoma de Buenos Aires",1,"Exito","Mercado Libre","Marketplace",1999,"48757","IPO","MERCADO LIBRE (1999)  |  Marketplace  |  IPO  (Mkt Cap: 48.757M USD)","Fintech","Unicornios","Arias 3751","Saavedra","CABA","Post-IPO Debt","de 1001 a 5000",c(-58.4862862735554, -34.5475706432839)
9,"JUANA MANSO","Comuna 1","Ciudad Autónoma de Buenos Aires","JUANA MANSO 999, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","Despegar","Ecommerce",1999,"509.8","IPO","DESPEGAR (1999)  |  Ecommerce  |  IPO  (Mkt Cap: 509.8M USD)","eTravel","Unicornios","Manso Juana 999","Puerto Madero","CABA","Undisclosed","de 5001-10000",c(-58.3628214158021, -34.6094409094076)
10,"AV DORREGO","Comuna 14","Ciudad Autónoma de Buenos Aires","AV DORREGO 2161, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Auth0","SaaS",2013,"212.3","Late Stage Venture","AUTH0 (2013)  |  SaaS  |  Late Stage Venture  (Fondeo: 212.3M USD)","Cyber_seg","Unicornios","Avenida Dorrego 2161","Palermo","CABA","Series E","de 251-500",c(-58.4392170109815, -34.5779378171867)
11,"NICARAGUA","Comuna 14","Ciudad Autónoma de Buenos Aires","NICARAGUA 4677, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Ualá","Fintech",2017,"194","Late Stage Venture","UALÁ (2017)  |  Fintech  |  Late Stage Venture  (Fondeo: 194M USD)","no","Próximos_unicornios","Nicaragua 4677","Palermo","CABA","Series C","de 101 a 250",c(-58.425993040834, -34.5875496729993)
12,"AV RAUL SCALABRINI ORTIZ","Comuna 14","Ciudad Autónoma de Buenos Aires","AV RAUL SCALABRINI ORTIZ 3333, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Satellogic","Aeroespacial",2010,"110","Late Stage Venture","SATELLOGIC (2010)  |  Aeroespacial  |  Late Stage Venture  (Fondeo: 110M USD)","no","Próximos_unicornios","Scalabrini Ortiz 3333","Palermo","CABA","Series C","de 101 a 250",c(-58.409056298494, -34.5785755283984)
13,"CAPDEVILA","Comuna 12","Ciudad Autónoma de Buenos Aires","CAPDEVILA 3448, Comuna 12, Ciudad Autónoma de Buenos Aires",1,"Exito","Etermax","Juegos",2009,"s.d","-","ETERMAX (2009)  |  e-Games","no","Próximos_unicornios","Capdevila 3448","Villa Urquiza","CABA","Non-equity assitance","de 251-500",c(-58.4939462623458, -34.5649995102438)
14,"AV EDUARDO MADERO","Comuna 1","Ciudad Autónoma de Buenos Aires","AV EDUARDO MADERO 1020, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","Technisys","Fintech",1999,"64","Late Stage Venture","TECHNISYS (1999)  |  Fintech  |  Late Stage Venture  (Fondeo: 64M USD)","Saas","Próximos_unicornios","avenida Eduardo Madero 1020","Retiro","CABA","Series C","de 501-1000",c(-58.3704735864049, -34.5959493417351)
15,"GUEVARA","Comuna 15","Ciudad Autónoma de Buenos Aires","GUEVARA 93, Comuna 15, Ciudad Autónoma de Buenos Aires",1,"Exito","Onapsis","SaaS",2009,"60.6","Late Stage Venture","ONAPSIS (2009)  |  SaaS  |  Late Stage Venture  (Fondeo: 60.6M USD)","Cyber_seg","Próximos_unicornios","Guevara 93","Chacarita","CABA","Series C","de 101 a 250",c(-58.4469932873263, -34.5882792015558)
16,"VUELTA DE OBLIGADO","Comuna 14","Ciudad Autónoma de Buenos Aires","VUELTA DE OBLIGADO 1131, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Avenida Compras","Ecommerce",2013,"50.5","Late Stage Venture","AVENIDA COMPRAS (2013)  |  Ecommerce  |  Late Stage Venture  (Fondeo: 50.5M USD)","no","Próximos_unicornios","Vuelta de Obligado 1131","Palermo","CABA","Series C","de 251-500",c(-58.4468218339045, -34.5681000727352)
17,"HUMBOLT","Comuna 14","Ciudad Autónoma de Buenos Aires","HUMBOLT 1550, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Navent","Proptech",1999,"50","Late Stage Venture","NAVENT (1999)  |  Proptech  |  Late Stage Venture  (Fondeo: 50M USD)","no","Próximos_unicornios","Humboldt 1550","Palermo","CABA","Series C","de 501-1000",c(-58.4367129525272, -34.5860227683004)
18,"AV DORREGO","Comuna 14","Ciudad Autónoma de Buenos Aires","AV DORREGO 1789, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Afluenta","Fintech",2010,"25.5","Late Stage Venture","AFLUENTA (2010)  |  Fintech  |  Late Stage Venture  (Fondeo: 25.5M USD)","no","Próximos_unicornios","avenida Dorrego 1789","Palermo","CABA","Series C","de 51 a 100",c(-58.4426016067289, -34.5810266899738)
19,"COSTA RICA","Comuna 14","Ciudad Autónoma de Buenos Aires","COSTA RICA 5546, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Mural","SaaS",2011,"24.3","Early stage venture","MURAL (2011)  |  SaaS  |  Early stage venture  (Fondeo: 24.3M USD)","no","Gacelas_en_exp","Costa Rica 5546","Palermo","CABA","Series A","de 101 a 250",c(-58.4341398909784, -34.5830835090961)
20,"JOSE A CABRERA","Comuna 14","Ciudad Autónoma de Buenos Aires","JOSE A CABRERA 5479, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Iguanafix","Marketplace",2013,"20.7","-","IGUANAFIX (2013)  |  Marketplace  |  (Fondeo: 20.7M USD)","eCommerce","Próximos_unicornios","José A. Cabrera 5479","Palermo","CABA","Corporate Round","de 101 a 250",c(-58.4368134945809, -34.5866810582753)
21,"AV MONROE","Comuna 13","Ciudad Autónoma de Buenos Aires","AV MONROE 860, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Digital House","Edtech",2015,"20","Early stage venture","DIGITAL HOUSE (2015)  |  Edtech  |  Early stage venture  (Fondeo: 20M USD)","no","Próximos_unicornios","Avenida Monroe 860","Belgrano","CABA","Series B","de 11 a 50",c(-58.4438251374374, -34.5487440399606)
22,"HUMBOLT","Comuna 14","Ciudad Autónoma de Buenos Aires","HUMBOLT 2495, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Codamation","SaaS",2005,"16","-","CODAMATION (2005)  |  SaaS  |  (Fondeo: 16M USD)","Fintech","Gacelas_en_exp","Humboldt 2495","Palermo","CABA","Undisclosed","de 11 a 50",c(-58.4274706603499, -34.5779668831841)
23,"AV DEL LIBERTADOR","Comuna 13","Ciudad Autónoma de Buenos Aires","AV DEL LIBERTADOR 6680, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Brubank","Fintech",2017,"12.8","Seed","BRUBANK (2017)  |  Fintech  |  Seed  (Fondeo: 12.8M USD)","Insurtech","Gacelas_en_exp","avenida del Libertador 6680","Nuñez","CABA","Seed","de 101 a 250",c(-58.4528696807033, -34.5506621489065)
24,"CASTILLO","Comuna 15","Ciudad Autónoma de Buenos Aires","CASTILLO 1366, Comuna 15, Ciudad Autónoma de Buenos Aires",1,"Exito","Workana","Marketplace",2012,"10.199999999999999","Late Stage Venture","WORKANA (2012)  |  Marketplace  |  Late Stage Venture  (Fondeo: 10.2M USD)","no","Gacelas_en_exp","Castillo 1366","Villa Crespo","CABA","Series C","de 11 a 50",c(-58.4409446566605, -34.5885192735858)
25,"MINONES","Comuna 13","Ciudad Autónoma de Buenos Aires","MINONES 2177, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Properati","Proptech",2012,"9.6999999999999993","Late Stage Venture","PROPERATI (2012)  |  Proptech  |  Late Stage Venture  (Fondeo: 9.7M USD)","no","Gacelas_en_exp","Miñones 2177","Belgrano","CABA","Series C","de 11 a 50",c(-58.4461750662116, -34.5546591807925)
26,"VERA","Comuna 15","Ciudad Autónoma de Buenos Aires","VERA 475, Comuna 15, Ciudad Autónoma de Buenos Aires",1,"Exito","Glamit","Ecommerce",2011,"9","Private Equity","GLAMIT (2011)  |  Ecommerce  |  Private Equity  (Fondeo: 9M USD)","no","Gacelas_en_exp","Vera 475","Villa Crespo","CABA","Private Equity","de 101 a 250",c(-58.4374375710581, -34.5993015143572)
27,"JUANA AZURDUY","Comuna 13","Ciudad Autónoma de Buenos Aires","JUANA AZURDUY 2440, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Tienda Nube","SaaS",2011,"8.4","Early stage venture","TIENDA NUBE (2011)  |  SaaS  |  Early stage venture  (Fondeo: 8.4M USD)","eCommerce","Gacelas_en_exp","Juana Azurduy 2440","Nuñez","CABA","Seed","de 101 a 250",c(-58.4671412782742, -34.5510874807803)
28,"AV HONDURAS","Comuna 14","Ciudad Autónoma de Buenos Aires","AV HONDURAS 5952, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Jampp","Adtech",2011,"7.6","Early stage venture","JAMPP (2011)  |  Publicidad  |  Early stage venture  (Fondeo: 7.6M USD)","no","Gacelas_en_exp","Honduras 5952","Palermo","CABA","Series A","de 51 a 100",c(-58.4399169400696, -34.5813271436331)
29,"CASTILLO","Comuna 15","Ciudad Autónoma de Buenos Aires","CASTILLO 1366, Comuna 15, Ciudad Autónoma de Buenos Aires",1,"Exito","RSK Labs","Fintech",2014,"7.3","Seed","RSK LABS (2014)  |  Fintech  |  Seed  (Fondeo: 7.3M USD)","SaaS","Gacelas_en_exp","Castillo 1366","Villa Crespo","CABA","Seed","de 1 a 10",c(-58.4409446566605, -34.5885192735858)
30,"25 DE MAYO","Comuna 1","Ciudad Autónoma de Buenos Aires","25 DE MAYO 577, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","SaferTaxi","Transporte",2009,"5.7","Early stage venture","SAFERTAXI (2009)  |  Transporte  |  Early stage venture  (Fondeo: 5.7M USD)","no","Gacelas_en_exp","25 de mayo 577","San Nicolás","CABA","Non-equity assitance","de 51 a 100",c(-58.3712445056275, -34.6010129655098)
31,"PARAGUAY","Comuna 1","Ciudad Autónoma de Buenos Aires","PARAGUAY 1132, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","Moni","Fintech",2013,"5.5","-","MONI (2013)  |  Fintech  | (Fondeo: 5.5M USD)","Insurtech","Gacelas_en_exp","Paraguay 1132","Retiro","CABA","Seed","de 11 a 50",c(-58.3830743240471, -34.5979904915178)
33,"SUPERI","Comuna 13","Ciudad Autónoma de Buenos Aires","SUPERI 1456, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Sirena","SaaS",2015,"4","Early stage venture","SIRENA (2015)  |  SaaS  |  Early stage venture  (Fondeo: 4M USD)","no","Gacelas_en_exp","Superí 1456","Colegiales","CABA","Series A","de 51 a 100",c(-58.4608106042625, -34.5738174827809)
34,"HUMBOLT","Comuna 14","Ciudad Autónoma de Buenos Aires","HUMBOLT 1969, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Acamica","Edtech",2012,"3.4","Early stage venture","ACAMICA (2012)  |  Edtech  |  Early stage venture  (Fondeo: 3.4M USD)","no","Gacelas_en_exp","Humboldt 1969","Palermo","CABA","Series A","de 11 a 50",c(-58.4329122968847, -34.5827150370236)
36,"DR EMILIO RAVIGNANI","Comuna 14","Ciudad Autónoma de Buenos Aires","DR EMILIO RAVIGNANI 1470, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","123 Seguro","Fintech",2010,"3","Seed","123 SEGURO (2010)  |  Fintech  |  Seed  (Fondeo: 3M USD)","Insurtech","Gacelas_en_exp","Ravignani Emilio 1470","Palermo","CABA","Seed","de 51 a 100",c(-58.4416410325419, -34.5837219276162)
37,"ARENALES","Comuna 2","Ciudad Autónoma de Buenos Aires","ARENALES 2189, Comuna 2, Ciudad Autónoma de Buenos Aires",1,"Exito","Investoland","Fintech",2017,"2.4","-","INVESTOLAND (2017)  |  Fintech  |  (Fondeo: 2.4M USD)","Insurtech","Gacelas_en_exp","Arenales 2189","Recoleta","CABA","Initial Coin Offering","de 11 a 50",c(-58.3979786300146, -34.5943269812695)
38,"LAVALLE","Comuna 1","Ciudad Autónoma de Buenos Aires","LAVALLE 1206, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","Alquilando","Proptech",2016,"2","Seed","ALQUILANDO (2016)  |  Proptech  |  Seed  (Fondeo: 2M USD)","Marketplace","Gacelas_en_exp","Lavalle 1206","San Nicolás","CABA","Seed","de 11 a 50",c(-58.3838730683057, -34.6026346448414)
39,"AV DEL LIBERTADOR","Comuna 13","Ciudad Autónoma de Buenos Aires","AV DEL LIBERTADOR 5990, Comuna 13, Ciudad Autónoma de Buenos Aires",1,"Exito","Logan","Adtech",2011,"2","Early stage venture","LOGAN (2011)  |  Adtech  |  Early stage venture  (Fondeo: 2M USD)","no","Gacelas_en_exp","avenida del Libertador 5990","Belgrano","CABA","Series A","de 51 a 100",c(-58.4476179713513, -34.5567662811)
40,"VOLTAIRE","Comuna 14","Ciudad Autónoma de Buenos Aires","VOLTAIRE 5921, Comuna 14, Ciudad Autónoma de Buenos Aires",1,"Exito","Producteca","SaaS",2009,"s.d","Seed","PRODUCTECA (2009)  |  SaaS  |  Seed  (Fondeo: s.dM USD)","Marketplace","Gacelas_en_exp","Voltaire 5921","Palermo","CABA","Convertible Note","de 11 a 50",c(-58.4374080570228, -34.5796753526057)
41,"CRISOLOGO LARRALDE","Comuna 12","Ciudad Autónoma de Buenos Aires","CRISOLOGO LARRALDE 2700, Comuna 12, Ciudad Autónoma de Buenos Aires",1,"Exito","Zolvers","Marketplace",2013,"s.d","-","ZOLVERS (2013)  |  Marketplace  |  (Fondeo: s.dM USD)","no","Gacelas_en_exp","Crisólogo Larralde 2700","Nuñez","CABA","Venture","de 1 a 10",c(-58.4710059574572, -34.5505279623846)
42,"ESMERALDA","Comuna 1","Ciudad Autónoma de Buenos Aires","ESMERALDA 1330, Comuna 1, Ciudad Autónoma de Buenos Aires",1,"Exito","Karvi","Marketplace",2017,"3","Seed","KARVI (2017)  |  Marketplace  |  (Fondeo: 3M USD)","no","Gacelas_en_exp","Esmeralda 1330","Retiro","CABA","Seed","de 11 a 50",c(-58.3783614776395, -34.5919712158303)
